filename,width,height,class,xmin,ymin,xmax,ymax
00076.jpg,1224,688,Lavandin,536.0,146.0,789.0,349.75003
00076.jpg,1224,688,Lavandin,580.75,0.0,767.24994,88.5
00076.jpg,1224,688,Adventices,848.75,74.75,882.25,110.5
00076.jpg,1224,688,Adventices,894.75,4.5,959.25,61.0
00076.jpg,1224,688,Adventices,918.0,46.0,1036.25,120.75
00076.jpg,1224,688,Adventices,976.5,176.0,1015.75,224.25002
00076.jpg,1224,688,Adventices,970.75,257.75,1018.0,330.0
00076.jpg,1224,688,Adventices,1050.25,322.0,1119.25,380.75
00076.jpg,1224,688,Adventices,332.25,66.75,377.25,98.75
00076.jpg,1224,688,Adventices,464.75,46.0,496.75,101.25
00076.jpg,1224,688,Adventices,428.99997,145.0,494.5,197.75
00076.jpg,1224,688,Adventices,100.0,398.0,144.75,428.0
00076.jpg,1224,688,Adventices,1053.5,579.75,1111.25,617.75
00076.jpg,1224,688,Adventices,839.75,277.25,865.99994,306.0
00076.jpg,1224,688,Adventices,0.0,494.75,27.75,522.5
00076.jpg,1224,688,Adventices,89.25,626.25,126.5,655.25
00076.jpg,1224,688,Adventices,48.25,517.75,79.5,558.75
00076.jpg,1224,688,Adventices,83.25,552.75,127.75,582.75
00076.jpg,1224,688,Adventices,62.75,92.75,120.5,139.75
00076.jpg,1224,688,Adventices,1178.0,401.75,1214.25,429.5
00076.jpg,1224,688,Adventices,896.75,525.0,935.5,575.5
00076.jpg,1224,688,Adventices,901.50006,602.25,1068.25,688.0
00109.jpg,1224,919,Lavandin,8.209756,430.40826,269.42926,649.3421
00109.jpg,1224,919,Lavandin,0.0,690.3689,277.63904,919.0
00109.jpg,1224,919,Lavandin,990.39514,508.73212,1224.0,727.66595
00109.jpg,1224,919,Lavandin,26.121952,227.1392,344.43658,407.2841
00109.jpg,1224,919,Lavandin,67.5439,0.0,369.8122,210.35553
00109.jpg,1224,919,Lavandin,794.1073,0.0,1108.6902,170.44765
00109.jpg,1224,919,Lavandin,935.9122,250.2634,1164.2927,462.85672
00109.jpg,1224,919,Adventices,510.1244,25.362013,557.1439,57.810467
00109.jpg,1224,919,Adventices,506.39267,98.83726,546.32196,176.41518
00109.jpg,1224,919,Adventices,511.2439,245.41478,565.7268,314.0414
00109.jpg,1224,919,Adventices,477.28534,343.13312,614.239,512.46185
00109.jpg,1224,919,Adventices,634.76337,449.80273,701.1878,508.73212
00109.jpg,1224,919,Adventices,449.67075,563.18585,615.3585,728.7849
00109.jpg,1224,919,Adventices,713.1293,622.4883,779.9268,693.72565
00109.jpg,1224,919,Adventices,662.37805,766.45496,789.2561,894.7569
00109.jpg,1224,919,Adventices,391.4561,753.028,587.3707,889.90826
00109.jpg,1224,919,Adventices,692.60486,383.04102,778.43414,501.64572
00109.jpg,1224,919,Adventices,625.061,357.67896,678.0512,427.7975
00109.jpg,1224,919,Adventices,709.7707,186.11241,887.4,385.6518
00109.jpg,1224,919,Adventices,702.3073,512.46185,777.31464,562.06696
00109.jpg,1224,919,Adventices,735.14636,702.304,829.18536,747.0605
00109.jpg,1224,919,Adventices,843.739,426.67856,894.4903,491.94843
00042.jpg,1224,688,Lavandin,501.49997,2.25,766.0,176.0
00042.jpg,1224,688,Adventices,392.25,220.75,444.0,258.75
00042.jpg,1224,688,Adventices,881.0,61.0,935.25,105.75001
00042.jpg,1224,688,Adventices,844.25,324.25,894.75,372.75
00042.jpg,1224,688,Adventices,1007.5,254.25,1077.75,292.25
00042.jpg,1224,688,Adventices,1069.75,216.25,1108.75,260.0
00042.jpg,1224,688,Adventices,170.24998,529.25,291.0,615.5
00042.jpg,1224,688,Adventices,32.0,494.75,181.75,627.0
00042.jpg,1224,688,Adventices,0.0,619.0,147.0,688.0
00042.jpg,1224,688,Adventices,127.5,423.25,209.25,487.75
00042.jpg,1224,688,Adventices,116.0,63.25,238.0,146.0
00042.jpg,1224,688,Adventices,231.0,13.75,322.0,128.75
00042.jpg,1224,688,Adventices,103.5,279.75,191.0,426.0
00042.jpg,1224,688,Adventices,192.0,342.75,257.5,419.75
00042.jpg,1224,688,Adventices,57.5,434.75,118.25001,467.0
00042.jpg,1224,688,Adventices,6.0,153.25,200.25002,312.5
00042.jpg,1224,688,Adventices,228.0,189.25,305.25,282.25
00042.jpg,1224,688,Adventices,906.5,362.0,935.5,386.00003
00042.jpg,1224,688,Adventices,959.5,312.5,1075.5,387.25
00042.jpg,1224,688,Adventices,895.5,127.75001,989.75,234.00002
00042.jpg,1224,688,Adventices,1034.25,440.5,1117.75,520.0
00042.jpg,1224,688,Adventices,1152.75,555.0,1223.75,661.25
00042.jpg,1224,688,Adventices,284.75,490.0,421.25,652.75
00042.jpg,1224,688,Lavandin,438.0,208.74998,784.5,604.5
00046.jpg,1224,688,Lavandin,487.75,1.0,769.5,257.75
00046.jpg,1224,688,Lavandin,452.0,286.5,776.5,675.25
00046.jpg,1224,688,Adventices,819.0,367.0,873.0,430.25
00046.jpg,1224,688,Adventices,816.75,170.25,890.25,231.25
00046.jpg,1224,688,Adventices,805.25,41.25,869.50006,93.0
00046.jpg,1224,688,Adventices,1010.00006,568.25,1084.75,630.5
00046.jpg,1224,688,Adventices,66.5,237.99998,161.0,301.25
00046.jpg,1224,688,Adventices,147.0,126.5,209.25,234.75
00046.jpg,1224,688,Adventices,357.75,145.0,477.25,263.5
00046.jpg,1224,688,Adventices,857.99994,268.0,903.0,304.75
00046.jpg,1224,688,Adventices,1081.5,67.5,1120.0,97.49999
00003.jpg,1224,688,Lavandin,240.25,2.25,412.75,98.75
00003.jpg,1224,688,Lavandin,176.00002,102.25,376.0,243.75002
00003.jpg,1224,688,Lavandin,100.0,255.25,340.49997,467.0
00003.jpg,1224,688,Lavandin,0.0,499.25,251.75,688.0
00003.jpg,1224,688,Lavandin,755.75,0.0,904.0,61.0
00003.jpg,1224,688,Lavandin,807.5,61.0,972.0,170.25
00003.jpg,1224,688,Lavandin,871.75,186.24998,1064.0,369.25003
00003.jpg,1224,688,Lavandin,936.24994,401.50003,1224.0,688.0
00003.jpg,1224,688,Adventices,561.25,352.0,616.5,533.75
00003.jpg,1224,688,Adventices,567.0,276.0,620.0,337.0
00003.jpg,1224,688,Adventices,565.75,178.25002,625.75006,253.0
00003.jpg,1224,688,Adventices,70.0,33.25,146.0,96.50001
00003.jpg,1224,688,Adventices,14.75,94.25,139.0,163.25
00003.jpg,1224,688,Adventices,0.0,169.0,63.25,230.0
00003.jpg,1224,688,Adventices,0.0,266.75,37.75,319.75
00003.jpg,1224,688,Adventices,567.0,84.0,623.5,151.75
00003.jpg,1224,688,Adventices,793.75,540.75,876.5,643.0
00003.jpg,1224,688,Adventices,564.75,557.5,616.75,593.75
00003.jpg,1224,688,Adventices,640.75,405.50003,678.25006,445.25
00003.jpg,1224,688,Adventices,569.75,49.249996,625.25,83.25
00003.jpg,1224,688,Adventices,560.0,0.0,632.5,33.75
00003.jpg,1224,688,Adventices,982.49994,6.0000005,1125.0,98.75
00023.jpg,1224,688,Lavandin,540.5,42.5,799.5,278.25
00023.jpg,1224,688,Lavandin,510.75,307.0,830.5,647.75
00023.jpg,1224,688,Adventices,891.5,233.5,953.5,268.0
00023.jpg,1224,688,Adventices,964.0,359.0,1184.75,518.75
00023.jpg,1224,688,Adventices,986.99994,526.75,1224.0,680.0
00023.jpg,1224,688,Adventices,981.25,220.75,1123.75,349.75003
00023.jpg,1224,688,Adventices,176.00002,199.0,217.25,226.5
00023.jpg,1224,688,Adventices,162.00002,11.5,208.0,47.0
00023.jpg,1224,688,Adventices,213.75,12.5,246.0,41.25
00023.jpg,1224,688,Adventices,0.0,445.25,108.5,509.5
00023.jpg,1224,688,Adventices,257.5,532.5,383.0,643.0
00023.jpg,1224,688,Adventices,152.0,321.0,243.75,486.25
00023.jpg,1224,688,Adventices,199.0,149.5,230.50002,181.0
00023.jpg,1224,688,Adventices,945.0,119.25,1102.0,197.75
00023.jpg,1224,688,Adventices,921.0,0.0,970.5,36.0
00013.jpg,1224,688,Lavandin,525.5,1.0,788.0,225.5
00013.jpg,1224,688,Lavandin,517.5,243.75002,809.75,608.5
00013.jpg,1224,688,Adventices,900.5,372.75,1006.50006,491.25
00013.jpg,1224,688,Adventices,990.25,463.5,1059.25,552.25
00013.jpg,1224,688,Adventices,1157.25,541.75,1222.75,604.0
00013.jpg,1224,688,Adventices,889.0,599.25,929.5,647.75
00013.jpg,1224,688,Adventices,923.75006,554.5,1034.0,671.75
00013.jpg,1224,688,Adventices,1098.5,19.5,1180.25,85.0
00013.jpg,1224,688,Adventices,913.25,87.24999,950.0,157.5
00013.jpg,1224,688,Adventices,1043.25,147.25,1094.0,188.5
00013.jpg,1224,688,Adventices,943.25,162.25,1016.75,237.99998
00013.jpg,1224,688,Adventices,308.25,298.0,438.25,365.75
00013.jpg,1224,688,Adventices,337.0,54.0,404.75,132.25
00013.jpg,1224,688,Adventices,392.25,434.75,460.0,477.5
00013.jpg,1224,688,Adventices,232.25,459.0,296.75,530.25
00013.jpg,1224,688,Adventices,370.25003,168.0,446.25,230.0
00013.jpg,1224,688,Adventices,257.5,208.25,356.49997,239.25
00013.jpg,1224,688,Adventices,261.0,252.0,311.75,281.75
00013.jpg,1224,688,Adventices,316.25,460.25,355.25,505.0
00013.jpg,1224,688,Adventices,287.5,633.75,342.75,682.25
00103.jpg,1224,919,Lavandin,898.222,540.4347,1224.0,919.0
00103.jpg,1224,919,Lavandin,886.2805,175.29626,1166.9049,443.46228
00103.jpg,1224,919,Lavandin,845.2317,0.0,1114.661,141.35593
00103.jpg,1224,919,Lavandin,163.07562,55.572647,340.7049,199.1664
00103.jpg,1224,919,Lavandin,57.84146,229.75,268.30975,391.61932
00103.jpg,1224,919,Lavandin,0.0,424.06778,297.41708,628.4558
00103.jpg,1224,919,Adventices,11.568293,665.0069,285.10245,895.8758
00103.jpg,1224,919,Adventices,417.95123,596.00726,618.71704,879.0921
00103.jpg,1224,919,Adventices,453.02927,413.25162,673.2,564.6778
00103.jpg,1224,919,Adventices,454.52194,253.62013,554.9049,387.88962
00103.jpg,1224,919,Adventices,484.74878,113.38312,579.16095,239.07428
00103.jpg,1224,919,Adventices,477.28534,0.0,588.49023,92.86973
00103.jpg,1224,919,Adventices,638.12195,0.0,716.86096,65.26988
00103.jpg,1224,919,Adventices,731.4147,0.0,789.2561,89.140015
00103.jpg,1224,919,Adventices,696.33655,414.74353,812.3927,550.1319
00103.jpg,1224,919,Adventices,685.51465,596.00726,820.97565,794.4278
00103.jpg,1224,919,Adventices,647.82434,111.145294,756.7902,253.62013
00018.jpg,1224,688,Lavandin,452.99997,2.25,751.0,275.0
00018.jpg,1224,688,Lavandin,444.99997,323.25,752.25,614.25
00018.jpg,1224,688,Adventices,915.5,500.5,1008.75,630.5
00018.jpg,1224,688,Adventices,1041.0,566.0,1200.75,670.75
00018.jpg,1224,688,Adventices,955.75006,370.49997,1021.5,416.5
00018.jpg,1224,688,Adventices,896.0,181.75,932.75,224.25002
00018.jpg,1224,688,Adventices,868.5,103.5,908.75,166.75
00018.jpg,1224,688,Adventices,939.0,109.74999,1054.75,204.74998
00018.jpg,1224,688,Adventices,315.0,257.75,384.0,309.5
00018.jpg,1224,688,Adventices,256.5,342.75,322.0,387.75
00018.jpg,1224,688,Adventices,385.25,394.5,427.75,430.25
00018.jpg,1224,688,Adventices,194.25002,85.0,258.75,156.5
00018.jpg,1224,688,Adventices,0.0,359.0,118.25001,468.25
00018.jpg,1224,688,Adventices,26.25,161.0,83.75,230.0
00018.jpg,1224,688,Adventices,333.5,51.75,356.49997,73.5
00018.jpg,1224,688,Adventices,992.75,219.75,1077.75,279.5
00025.jpg,1224,688,Lavandin,444.0,12.5,741.75,260.0
00025.jpg,1224,688,Lavandin,452.99997,296.75,717.75,536.0
00025.jpg,1224,688,Lavandin,448.5,601.75,710.75,687.75
00025.jpg,1224,688,Adventices,900.5,236.99998,974.25,334.75
00025.jpg,1224,688,Adventices,1005.25,299.0,1097.25,419.75
